domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,7,7.9659045239712105,0.0,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,0,1.000083565178765,-1.1299991467133257e-14,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,1,1.000083565178765,1.1299991467133257e-14,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,2,1.9994894925921045,0.0,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,3,4.001082138923508,-0.019973268471263128,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,4,4.001082138923508,0.019973268471263128,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,5,4.998578955742982,0.0,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,6,4.998578955742991,0.0,ok
square,N1curl,beltrami,0.01,3,4096,0.09817477042468159,0.0009817477042468159,8321.0,7,7.9916301165935435,0.0,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,0,1.0057254891785696,0.0,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,1,1.0057254891785727,0.0,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,2,1.967638251543951,0.0,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,3,4.062219485444064,-0.1829005163476921,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,4,4.062219485444064,0.1829005163476921,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,5,4.901709963940502,0.0,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,6,4.901709963940507,0.0,ok
square,N1curl,beltrami,0.1,0,64,0.7853981633974483,0.07853981633974483,145.0,7,7.438294891787726,0.0,ok
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,0,1.0027074663269144,-5.37226937570151e-16,ok
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,1,1.0027074663269144,5.37226937570151e-16,ok
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,2,1.993839292579105,0.0,ok
